step,t,max_u,plate_disp
243,1.51875000e+00,1.6666625969865340e-01,9.2625177356818342e-02
244,1.52500000e+00,1.6666625969864787e-01,9.3034425094829537e-02
245,1.53125000e+00,1.6666625969865240e-01,9.3443802481918609e-02
246,1.53750000e+00,1.6666625969865079e-01,9.3853332072498769e-02
247,1.54375000e+00,1.6666625969865137e-01,9.4262997986362854e-02
248,1.55000000e+00,1.6666625969865195e-01,9.4672873082479750e-02
249,1.55625000e+00,1.6666625969865112e-01,9.5082898165161744e-02
250,1.56250000e+00,1.6666625969865262e-01,9.5493062927693356e-02
251,1.56875000e+00,1.6666625969865254e-01,9.5903353565141181e-02
252,1.57500000e+00,1.6666625969865390e-01,9.6313792989169450e-02
253,1.58125000e+00,1.6666625969865195e-01,9.6724376299450868e-02
254,1.58750000e+00,1.6666625969865437e-01,9.7135095247452161e-02
255,1.59375000e+00,1.6666625969865140e-01,9.7545987398629921e-02
256,1.60000000e+00,1.6666625969865462e-01,9.7956983059094990e-02
257,1.60625000e+00,1.6666625969865287e-01,9.8368118357212847e-02
258,1.61250000e+00,1.6666625969865503e-01,9.8779386280846745e-02
259,1.61875000e+00,1.6666625969865451e-01,9.9190801551459165e-02
260,1.62500000e+00,1.6666625969865403e-01,9.9602350969204903e-02
261,1.63125000e+00,1.6666625969865526e-01,1.0001405266195135e-01
262,1.63750000e+00,1.6666625969865528e-01,1.0042584333677726e-01
263,1.64375000e+00,1.6666625969865420e-01,1.0083782851845852e-01
264,1.65000000e+00,1.6666625969865465e-01,1.0124995328625291e-01
265,1.65625000e+00,1.6666625969865470e-01,1.0166219919105843e-01
266,1.66250000e+00,1.6666625969865626e-01,1.0207456243178177e-01
267,1.66875000e+00,1.6666625969865573e-01,1.0248709810601547e-01
268,1.67500000e+00,1.6666625969865603e-01,1.0289972614839224e-01
269,1.68125000e+00,1.6666625969865559e-01,1.0331252932446373e-01
270,1.68750000e+00,1.6666625969865667e-01,1.0372542972282493e-01
271,1.69375000e+00,1.6666625969865551e-01,1.0413852814638326e-01
272,1.70000000e+00,1.6666625969865698e-01,1.0455173059900839e-01
